Sample Name,Plate,Column,Row,Species,Lat,Long,Location,Precipitation,Radiation,AverageTemperature,MaxTemperature,VapourPressure,AverageWindSpeed,Year,BGI pot,RLV,LMV,MV1,MV2,SBPV,ABPV,
AH5,5,6,C,lucorum,55.826,-3.046,Gorebridge,-7.65588115588113,-305.025437525434,0.035620530465767,0.242419667509834,0.008403986721544,0.115364234691041,2011,L4,0,0,1,0,NA,NA,
A13,5,6,E,lucorum,55.826,-3.046,Gorebridge,-7.65588115588113,-305.025437525434,0.035620530465767,0.242419667509834,0.008403986721544,0.115364234691041,2011,L3,0,0,1,0,NA,NA,
AH17,5,8,H,lucorum,55.826,-3.046,Gorebridge,-7.65588115588113,-305.025437525434,0.035620530465767,0.242419667509834,0.008403986721544,0.115364234691041,2011,L5,0,0,1,0,NA,NA,
AH25,5,9,C,lucorum,55.826,-3.046,Gorebridge,-7.65588115588113,-305.025437525434,0.035620530465767,0.242419667509834,0.008403986721544,0.115364234691041,2011,L4,0,0,1,0,NA,NA,
TLAH7,5,9,E,lucorum,55.826,-3.046,Gorebridge,-7.65588115588113,-305.025437525434,0.035620530465767,0.242419667509834,0.008403986721544,0.115364234691041,2011,L3,0,0,1,0,NA,NA,
TLAH9,5,9,F,lucorum,55.826,-3.046,Gorebridge,-7.65588115588113,-305.025437525434,0.035620530465767,0.242419667509834,0.008403986721544,0.115364234691041,2011,L4,0,0,1,0,NA,NA,
B072,5,11,C,terrestris,55.921,-3.179,Edinburgh,-15.3174196174196,-79.7331298331337,0.734595095825068,1.08139395997153,0.032916783857113,-0.017456151461959,2011,T8,0,0,1,0,NA,NA,
B014,5,11,E,terrestris,55.826,-3.046,Gorebridge,-7.65588115588113,-305.025437525434,0.035620530465767,0.242419667509834,0.008403986721544,0.115364234691041,2011,T2,0,0,1,0,NA,NA,
B020,5,11,H,terrestris,55.826,-3.046,Gorebridge,-7.65588115588113,-305.025437525434,0.035620530465767,0.242419667509834,0.008403986721544,0.115364234691041,2011,T2,0,0,1,0,NA,NA,
B066,5,12,A,terrestris,55.826,-3.046,Gorebridge,-7.65588115588113,-305.025437525434,0.035620530465767,0.242419667509834,0.008403986721544,0.115364234691041,2011,T7,0,0,0,1,NA,NA,
B067,5,12,C,terrestris,55.826,-3.046,Gorebridge,-7.65588115588113,-305.025437525434,0.035620530465767,0.242419667509834,0.008403986721544,0.115364234691041,2011,T7,0,0,0,1,NA,NA,
FL35,5,2,D,lucorum,55.826,-3.046,Gorebridge,-7.65588115588113,-305.025437525434,0.035620530465767,0.242419667509834,0.008403986721544,0.115364234691041,2011,L6,0,0,1,1,NA,NA,
FL34,5,2,E,lucorum,55.826,-3.046,Gorebridge,-7.65588115588113,-305.025437525434,0.035620530465767,0.242419667509834,0.008403986721544,0.115364234691041,2011,L6,0,0,1,1,NA,NA,
B096,5,11,G,terrestris,55.921,-3.179,Edinburgh,-15.3174196174196,-79.7331298331337,0.734595095825068,1.08139395997153,0.032916783857113,-0.017456151461959,2011,T10,0,0,1,1,NA,NA,
B217,6,1,A,pascuorum,55.826,-3.046,Gorebridge,-7.65588115588113,-305.025437525434,0.035620530465767,0.242419667509834,0.008403986721544,0.115364234691041,2011,P20,0,0,0,0,1,0,
M081,6,1,D,hortorum,56.328,-6.406,Iona,5.88258038258037,1139.50020350017,0.611261911900668,-0.523606138574767,0.071416747140654,0.702543638729691,2009,H9,0,0,0,0,1,0,
B228,6,1,E,pascuorum,55.826,-3.046,Gorebridge,-7.65588115588113,-305.025437525434,0.035620530465767,0.242419667509834,0.008403986721544,0.115364234691041,2011,P21,0,0,0,0,1,0,
B142,6,1,G,pascuorum,55.921,-3.179,Edinburgh,-15.3174196174196,-79.7331298331337,0.734595095825068,1.08139395997153,0.032916783857113,-0.017456151461959,2011,P12,0,0,0,0,1,0,
B227,6,1,H,pascuorum,55.826,-3.046,Gorebridge,-7.65588115588113,-305.025437525434,0.035620530465767,0.242419667509834,0.008403986721544,0.115364234691041,2011,P21,0,0,0,0,1,0,
B223,6,2,A,pascuorum,55.826,-3.046,Gorebridge,-7.65588115588113,-305.025437525434,0.035620530465767,0.242419667509834,0.008403986721544,0.115364234691041,2011,P20,0,0,0,0,1,1,
B182,6,2,B,pascuorum,55.826,-3.046,Gorebridge,-7.65588115588113,-305.025437525434,0.035620530465767,0.242419667509834,0.008403986721544,0.115364234691041,2011,P16,0,0,0,0,1,1,
B243,6,2,E,pascuorum,55.826,-3.046,Gorebridge,-7.65588115588113,-305.025437525434,0.035620530465767,0.242419667509834,0.008403986721544,0.115364234691041,2011,P23,0,0,0,0,1,0,
B146,6,2,H,pascuorum,55.921,-3.179,Edinburgh,-15.3174196174196,-79.7331298331337,0.734595095825068,1.08139395997153,0.032916783857113,-0.017456151461959,2011,P12,0,0,0,0,1,0,
B129,6,3,A,pascuorum,55.921,-3.179,Edinburgh,-15.3174196174196,-79.7331298331337,0.734595095825068,1.08139395997153,0.032916783857113,-0.017456151461959,2011,P10,0,0,0,0,1,0,
M186,6,3,F,jonellus,57.166,-3.696,Glenmore,-4.76027676027672,-515.118844118831,-1.26492882995623,-1.04384418612917,-0.087749891199618,-0.359361047108189,2009,J5,0,0,0,0,1,0,
M091,6,3,H,cryptarum,55.796,-3.404,Pentlands,6.08258038258037,-387.133129833132,-0.792071672566934,-0.605272910145667,-0.047749925089117,0.875877124650911,2009,C3,0,0,0,0,1,0,
B107,6,4,A,terrestris,55.921,-3.179,Edinburgh,-15.3174196174196,-79.7331298331337,0.734595095825068,1.08139395997153,0.032916783857113,-0.017456151461959,2011,T11,0,0,0,0,1,0,
B166,6,4,B,pascuorum,55.921,-3.179,Edinburgh,-15.3174196174196,-79.7331298331337,0.734595095825068,1.08139395997153,0.032916783857113,-0.017456151461959,2011,P14,0,0,0,0,1,1,
M233,6,4,C,cryptarum,56.158,-3.88,Ochils,0.382580382580372,-233.118844118831,0.642214013562768,0.777584385299333,-0.003464193432906,-0.330789577665008,2009,C2,0,0,0,0,1,0,
M188,6,4,E,jonellus,57.166,-3.696,Glenmore,-4.76027676027672,-515.118844118831,-1.26492882995623,-1.04384418612917,-0.087749891199618,-0.359361047108189,2009,J5,0,0,0,0,0,0,
M183,6,4,F,jonellus,57.166,-3.696,Glenmore,-4.76027676027672,-515.118844118831,-1.26492882995623,-1.04384418612917,-0.087749891199618,-0.359361047108189,2009,J5,0,0,0,0,1,0,
M189,6,5,C,jonellus,57.166,-3.696,Glenmore,-4.76027676027672,-515.118844118831,-1.26492882995623,-1.04384418612917,-0.087749891199618,-0.359361047108189,2009,J5,0,0,0,0,1,0,
B232,6,5,D,pascuorum,55.826,-3.046,Gorebridge,-7.65588115588113,-305.025437525434,0.035620530465767,0.242419667509834,0.008403986721544,0.115364234691041,2011,P21,0,0,0,0,1,0,
M077,6,5,E,hortorum,56.328,-6.406,Iona,5.88258038258037,1139.50020350017,0.611261911900668,-0.523606138574767,0.071416747140654,0.702543638729691,2009,H9,0,0,0,0,1,0,
M180,6,5,G,bohemicus,57.166,-3.696,Glenmore,-4.76027676027672,-515.118844118831,-1.26492882995623,-1.04384418612917,-0.087749891199618,-0.359361047108189,2009,BO,0,0,0,0,1,0,
B147,6,5,H,pascuorum,55.921,-3.179,Edinburgh,-15.3174196174196,-79.7331298331337,0.734595095825068,1.08139395997153,0.032916783857113,-0.017456151461959,2011,P12,0,0,0,0,1,0,
